term	DBOW	DMm	DMc	DMs	CNN
Adolescent	0.316	0.326	0.210	0.215	0.611
Adult	0.513	0.504	0.376	0.375	0.784
Aged	0.467	0.466	0.319	0.318	0.738
Aged, 80 And Over	0.223	0.235	0.144	0.146	0.472
Animals	0.765	0.758	0.527	0.560	0.966
Cats	0.260	0.309	0.206	0.178	0.864
Cattle	0.297	0.304	0.101	0.200	0.773
Chick Embryo	0.185	0.159	0.065	0.106	0.728
Child	0.350	0.390	0.262	0.265	0.730
Child, Preschool	0.268	0.299	0.197	0.195	0.650
Dogs	0.347	0.414	0.300	0.252	0.877
Female	0.722	0.702	0.552	0.566	0.886
Guinea Pigs	0.294	0.167	0.087	0.085	0.816
History, 19Th Century	0.248	0.166	0.039	0.127	0.457
History, 20Th Century	0.263	0.179	0.056	0.142	0.437
History, 21St Century	0.041	0.035	0.013	0.026	0.089
Humans	0.934	0.917	0.799	0.817	0.989
Infant	0.246	0.277	0.171	0.185	0.608
Infant, Newborn	0.370	0.381	0.240	0.291	0.665
Male	0.697	0.679	0.556	0.562	0.880
Mice	0.483	0.458	0.302	0.300	0.887
Middle Aged	0.559	0.544	0.398	0.393	0.809
Pregnancy	0.580	0.612	0.369	0.523	0.846
Rabbits	0.253	0.216	0.217	0.114	0.786
Rats	0.511	0.457	0.282	0.298	0.929
Young Adult	0.142	0.156	0.086	0.095	0.327
